PARTICIPANT_ID,files,ERRORRATE_AVG_ID
5962a9280b835400010a7617,8,0.429261
5accb373436f5500010037ee,8,0.168268
5adae3ebdec767000128c131,8,0.145192
5bf368846edd7200017136c7,8,0.12762
5c4f5967aac8be0001716a65,8,0.73288
5caa534a19731a00190bb935,8,0.461159
5cab22cd68194f001511b2d6,8,1.086357
5ced66139b5b490001b688ed,8,0.758882
5d3b0da8a884020001881773,8,0.143244
5d40a12f4994c40001e4b80c,8,0.042614
5dafea4de40355001651fa2f,8,0.042202
5ea4cebb8944a8495280db42,8,0.71838
5f29eff59714081a3594a331,8,0.565224
5f600669b846780f0fe45709,8,0.962529
5faeb56b25a37f01d47d326c,8,0.6467
5fb551ccab996500099ab1aa,8,1.196113
5fbfe145e52a44000a9c2966,8,0.452647
5fff2877a99bcb65a14a223c,8,0.259876
606598de386cd206c99a4648,8,0.223139
6081728972120aa7f9685791,8,0.488472
60984a1b0cce76d16c4ca781,8,0.498622
60bf706fc3b12a3c4f11a487,8,0.600071
60db9412ba928de1fdc2269e,8,0.126282
60efc4347ae709f7f3dd8b04,8,0.617274
60f23a36acf5f6c70e990efd,8,0.652096
6136cb52db0f1cb2262bbf5d,8,0.219324
6140ef8d27499e70e8740918,8,0.261439
6150ca3f37e1fe330f70311d,8,0.258518
615921b85071b9caef6148d8,8,1.082702
616f9519fb3906da76b8e173,8,0.697351
61717173748006894b2b54ff,8,1.491579
6400e3697879c55c323f34d0,8,0.461779
649dba79b97070557ebe3d0b,8,0.398558
64e8b6f73929dae22fc25705,8,0.521669
6527f153bea7b2d7c0d556e4,8,0.928598
6538097b8793d9b90adc4667,8,0.86017
65a3ec77f674ac3e98f0c6ac,8,0.529757
65a3f4da297bacfcc92dead2,8,1.084516
65c7b42c1c15b1064e26f265,8,0.0
65cf6d8a589a67afcab54e6f,8,0.584724
65eafe348dd7dad3b69be921,8,1.688907
65f03cac071873738667ccbb,8,0.989131
65f1ee12589aa15061efa22a,8,0.774741
65f333c755d191fcd18fa279,8,0.33705
65fb34c4df61f03ce0dd6dd9,8,0.44244
65fc95c627592d85499ae358,8,0.303069
65fda4aa45ba55e983e2a2d9,8,0.294253
6614435124bf16e7a24f9662,8,0.764326
661564c766603e80ca4c3184,8,1.238225
663068f52490bf6d13f95968,8,0.29456
66321cfc446914f3b199e193,8,0.298531
663378460f834e9670d1508c,8,0.577975
6635344fb4ae723326e3ce04,8,0.278355
6643495b44af166c626762cd,8,0.352878
664b44d8a11f1bcbba9e0494,8,0.341471
664c8dd7baa052f7b1e88417,8,0.775102
664e413a5f3eb7f99d90e15b,8,0.483056
664fa86722f5339adebd32ec,8,1.906992
666f76b68b89442817be678a,8,0.351216
6672bf56d51710391ce2164d,8,0.372851
6672fea3fe6378e257b6ef25,8,0.649316
6679a3b7cb020a6e4728eac5,8,0.839164
66986ab71f2b54203f26ad32,8,0.244071
66b4f89242c0ff3aab8f8774,8,0.790156
66bb6b7e0ccbed81f3ed30a8,8,0.063576
6702f60844f21087e0840e3d,8,1.089676
6725030a6ee43d8130ceefc5,8,0.233903
6725c4a8e3ab0787551acf38,8,0.332913
67356f7cf6ff16fe3322a837,8,0.572208
673d0377254c407e5da57f97,8,0.432077
673f7365f63a4a3036aae1f2,8,0.138394
67430c9cce2366e644146584,8,0.570336
67450bce7a49cb1c784dcc2b,8,0.492046
676797a573d3cbf6add72f02,8,0.962147
67709b0a96dcc9c2a7b0a06e,8,0.387869
67acbb030811018b016dcaf7,8,0.449227
67bb91a04f5f96b7ac52242d,8,0.282579
67d01f812bf82a710cd2193f,8,0.071539
67d80b3db0cac8b1bd982fb2,8,0.284482
